"Administrador","Anden Derecho","Anden Izquierdo","Carretera","Poste de Referencia","Distancia","Fecha de Construcción","Fecha de Inspección","Luces","Luz Maxima","Luz Minima","Luz Total","Material","Nombre","Sección Longitudinal","Sección Transversal","Tablero","Via","point"
"INVIAS","1","1","Coveñas - Sabaneta","5","291","2.015","2012.05.07","1","10.7","10.7","10.7","20","Mauey (red expansion)","10","10","5.1","90SC02","POINT (-75.683496101171 9.35533220894315)"
"INVIAS","1","1","Coveñas - Sabaneta","4","421","2.015","2012.05.08","1","15.4","15.4","15.4","20","Reparo (Red expansion)","10","10","5.05","90SC02","POINT (-75.6825028433732 9.36282532333377)"
"INVIAS","1","1","Coveñas - Sabaneta","3","40","2.015","2012.05.08","1","19.5","19.5","19.5","20","El Sol","10","14","10.9","90SC02","POINT (-75.6809025051464 9.37596450244875)"
"ANI","0.8","0.8","Variante de Cartagena y accesos","4","855","2.015","2012.05.22","1","0","0","15","20","Puente El Rodeo","21","14","12.1","90BLC","POINT (-75.4536679183021 10.3711512843811)"
"ANI","1.62","0","Variante de Cartagena y accesos","4","855","2.015","2012.05.22","1","0","0","15","30","Puente El Rodeo","21","14","12.47","90BLC","POINT (-75.4536679183021 10.3711512843811)"
"ANI","0.8","0.8","Variante de Cartagena y accesos","4","858","2.015","2012.05.22","1","14.4","14.4","14.4","20","MATUTE 2","20","14","12.1","90BLC","POINT (-75.4536519211197 10.3711732915359)"
"ANI","1.62","0","Variante de Cartagena y accesos","4","858","2.015","2012.05.22","1","14.7","14.7","14.7","20","MATUTE 2","20","14","12.47","90BLC","POINT (-75.4536519211197 10.3711732915359)"
"ANI","0.8","0.8","Variante de Cartagena y accesos","4","781","2.015","2012.05.22","1","20","20","20","20","MATUTE 1","20","14","12.1","90BLC","POINT (-75.4540607372969 10.3706073026147)"
"ANI","1.62","0","Variante de Cartagena y accesos","4","781","2.015","2012.05.22","1","20","20","20","20","MATUTE 1","20","14","12.47","90BLC","POINT (-75.4540607372969 10.3706073026147)"
"ANI","0.85","0.85","Variante de Gambote","4","714","1.998","2012.05.22","1","35.5","35.5","35.5","32","Jardines","10","14","13.4","90BLB","POINT (-75.3451523086338 10.1938399216754)"
"ANI","0","0","Variante de Gambote","26","300","2.015","2012.04.19","1","0","0","19.2","20","Abocol","21","14","11.4","90BLB","POINT (-75.4823311247038 10.3093972188848)"
"ANI","0","2.3","Variante de Gambote","28","55","2.015","2012.04.19","1","0","0","25.66","30","Puente Membrillal","21","14","12","90BLB","POINT (-75.4825156963519 10.3247072058823)"
"ANI","0","2.3","Variante de Gambote","23","965","2.015","2012.04.19","1","0","0","20.6","20","Puente Payares","20","14","15","90BLB","POINT (-75.4783145932962 10.2891572527204)"
"ANI","0","2.3","Variante de Gambote","20","736","2.015","2012.04.19","1","0","0","20.5","20","Puente Moroti","20","14","12","90BLB","POINT (-75.4642586329076 10.2675326611144)"
"ANI","0","2.3","Variante de Gambote","11","520","2.015","2012.04.19","1","0","0","31.35","30","Puente Arroyo Grande","21","14","12","90BLB","POINT (-75.4011309739357 10.2177417863297)"
"ANI","2.3","0","Variante de Gambote","8","628","2.015","2012.04.19","1","0","0","20.5","20","Puente Caiman","20","14","12","90BLB","POINT (-75.3784912344064 10.2042947337885)"
"ANI","0.86","0.86","Variante de Gambote","24","55","1.998","2012.04.19","1","10.24","10.24","10.24","20","Buenos Aires","10","14","12.1","90BLB","POINT (-75.4783658549587 10.2899340837402)"
"ANI","0.85","0.85","Variante de Gambote","24","25","1.998","2012.04.19","1","20.6","20.6","60","32","Puente Payares","10","14","12.7","90BLB","POINT (-75.4783476353501 10.2896635428727)"
"ANI","0.85","0.85","Variante de Gambote","23","169","1.998","2012.04.19","1","20.6","20.6","20.6","32","Arroyo legua","10","14","12.7","90BLB","POINT (-75.4763501196757 10.2825149171903)"
"ANI","0.87","0.87","Variante de Gambote","20","727","1.998","2012.04.18","1","12.35","12.35","12.35","20","Arroyo Morotí","10","14","13.15","90BLB","POINT (-75.4641766513851 10.2675296600525)"
"ANI","0.8","0.8","Variante de Gambote","11","575","1.998","2012.04.18","1","19.52","19.52","19.52","21","Arroyo Grande","10","14","12","90BLB","POINT (-75.4015617515437 10.2179968180374)"
"ANI","0.85","0.85","Variante de Gambote","0","156","1.998","2012.04.16","1","30.7","30.7","30.7","20","Intersección Corralito","10","14","12.1","90BLB","POINT (-75.3036189116411 10.1896396136181)"
"ANI","0","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","107","46","1.99","2012.05.12","1","30.7","10.25","10.25","14","Colegio Aleman","10","14","12.2","90A01","POINT (-74.8600321923564 11.0164297192388)"
"ANI","0","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","18","556","1.99","2012.05.12","1","30.7","30.7","30.7","14","Arroyo Carabajal","10","14","12.2","90A01","POINT (-75.4446315676542 10.6033909045313)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","41","265","1.99","2012.05.12","1","20.7","20.7","20.7","32","Arroyo Bonga","10","14","12.2","90A01","POINT (-75.2904469206638 10.6961839132581)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","30","186","1.99","2012.05.09","1","28.7","28.7","28.7","32","Arroyo grande","10","14","12.1","90A01","POINT (-75.3777583719145 10.6545350279905)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","18","530","1.99","2012.05.08","1","30.7","30.7","30.7","32","Arroyo Carabajal","10","14","12","90A01","POINT (-75.4446692962997 10.6031589341641)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","6","206","1.99","2012.05.07","3","31.1","8.3","47.8","32","Juan Polo","10","14","11.3","90A01","POINT (-75.4819948983821 10.4915244262872)"
"ANI","1.15","1.15","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","5","882","1.99","2012.05.04","3","31.1","8.5","48.1","32","El cañon","10","14","11.3","90A01","POINT (-75.4833487838381 10.4894411201657)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","5","202","1.99","2012.04.26","5","31.2","8.7","111.2","32","La Boquilla","10","14","11.4","90A01","POINT (-75.4864659249871 10.4841271814711)"
"ANI","1.17","1.17","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","4","559","1.99","2012.04.22","3","15.48","7.82","31.15","20","Brazuelo","10","14","11.37","90A01","POINT (-75.4893611348828 10.4790830037956)"
"ANI","1.17","1.17","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","4","627","1.99","2012.04.20","3","31.2","8.55","48.84","32","Caño Luisa","10","14","11.37","90A01","POINT (-75.4890542195257 10.4796171393894)"
"ANI","2.1","2.1","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","0","812","2","2012.04.18","9","7.25","6.5","60","20","La Bocana","42","10","11.64","90A01","POINT (-75.5119024793854 10.4551306337928)"
"ANI","0","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","41","278","1.974","2012.06.07","1","20.7","20.7","20.7","14","41+278","10","14","12","90A01","POINT (-75.2903466031758 10.6962468651791)"
"ANI","0","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","30","205","1.974","2012.06.07","1","28.7","28.7","28.7","14","30+205","10","14","12.2","90A01","POINT (-75.3775867134312 10.6545607072899)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","104","961","1.974","2012.06.07","1","11","11","11","20","Arroyo leon # 2","10","14","24.6","90A01","POINT (-74.8790231525896 11.0139299396293)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","104","429","1.974","2012.02.14","1","16","16","16","20","Arroyo Leon # 1","10","14","25","90A01","POINT (-74.8838550980814 11.0133480711111)"
"INVIAS","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","81","620","1.985","2012.06.04","1","11","11","11","20","Peaje","10","14","13.7","90A01","POINT (-75.023727883581 10.9161030026517)"
"INVIAS","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","80","737","1.985","2012.06.05","1","11.7","11.7","11.7","20","Puerto Caiman","10","14","14.1","90A01","POINT (-75.0286928777763 10.9101829515829)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","79","476","1.985","2012.05.31","1","13.6","13.6","13.6","20","Playa Mendoza","10","14","14","90A01","POINT (-75.0338789038043 10.9009801923351)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","78","459","1.985","2012.05.31","1","21.2","21.2","21.2","20","Cajacopi","10","14","14.1","90A01","POINT (-75.040556086392 10.8941139067362)"
"INVIAS","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","77","922","1.986","2012.05.29","1","11.3","11.3","11.3","20","Turipana","10","14","14.1","90A01","POINT (-75.0448150792571 10.892010227618)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","75","31","1.986","2012.06.04","3","20.1","19.9","60","20","Arroyo de Juan de Acosta","10","14","9.9","90A01","POINT (-75.0688607860645 10.8837696330517)"
